Title;Book Author;Book Narrator;audioRuntime;Categories;average_rating;ratings_count;price;audioRuntime_converted;average_rating_converted;ratings_count_converted;category_converted
Rocket Fuel;Gino Wickman;Mark C. Winters;04.26;Business & Careers;4.6;1150;10;3;4;3;3
The Ideal Team Player;Patrick M. Lencioni;Stephen Hoye;05.03;Business & Careers;4.6;4958;10;3;4;3;3
The Obstacle Is the Way;Ryan Holiday;Ryan Holiday;06.07;Business & Careers;4.6;16592;11;3;4;4;3
How to Change;Katy Milkman;Katy Milkman;06.13;Business & Careers;4.6;91;8;3;4;1;3
Ego Is the Enemy;Ryan Holiday;Ryan Holiday;06.56;Business & Careers;4.6;10439;11;3;4;4;3
How to Win Friends and Influence People in the Digital Age;Dale Carnegie & Associates;Robert Petkoff;07.06;Business & Careers;4.6;5339;11;3;4;4;3
The Happiness Advantage;Shawn Achor;Shawn Achor;07.19;Business & Careers;4.6;8396;11;3;4;4;3
The 10X Rule;Grant Cardone;Grant Cardone;07.24;Business & Careers;4.6;40084;12;3;4;5;3
Captivate;Vanessa Van Edwards;Vanessa Van Edwards;07.28;Business & Careers;4.6;3087;10;3;4;3;3
Way of the Wolf;Jordan Belfort;Jordan Belfort;07.28;Business & Careers;4.6;7476;11;3;4;4;3
Straight Talk for Startups;Randy Komisar;Randy Komisar;07.30;Business & Careers;4.6;92;8;3;4;1;3
Deep Work;Cal Newport;Jeff Bottoms;07.44;Business & Careers;4.6;12289;11;3;4;4;3
The Hard Thing About Hard Things;Ben Horowitz;Kevin Kenerly;07.57;Business & Careers;4.6;12385;11;3;4;4;3
The E-Myth Revisited;Michael E. Gerber;Michael E. Gerber;08.05;Business & Careers;4.6;12096;11;3;4;4;3
Ask for More;Alexandra Carter;Alexandra Carter;08.27;Business & Careers;4.6;75;8;3;4;1;3
The Power of Broke;Daymond John;Daymond John;08.44;Business & Careers;4.6;4832;10;3;4;3;3
Think and Grow Rich;Napoleon Hill;Erik Synnestvedt;09.35;Business & Careers;4.6;23911;12;3;4;5;3
Mindset;Carol S. Dweck PhD;Bernadette Dunne;10.23;Business & Careers;4.6;4394;10;3;4;3;3
Getting Things Done;David Allen;David Allen;10.23;Business & Careers;4.6;4979;10;3;4;3;3
The Goal;Eliyahu M. Goldratt;uncredited;11.45;Business & Careers;4.6;4954;10;3;4;3;3
Team of Teams;Gen. Stanley McChrystal;Paul Michael;12.06;Business & Careers;4.6;5437;11;3;4;4;3
Influence;Robert B. Cialdini;Lloyd James;12.25;Business & Careers;4.6;4012;10;3;4;3;3
Principles;Ray Dalio;Ray Dalio;16.05;Business & Careers;4.6;16381;12;4;4;4;3
Mastery;Robert Greene;Fred Sanders;16.09;Business & Careers;4.6;10413;12;4;4;4;3
The Code of the Extraordinary Mind;Vishen Lakhiani;Vishen Lakhiani;0.09;Business & Careers;4.7;4009;8;1;4;3;3
How to Take Smart Notes Summary;Upgraded Brain;David Gwyther;0.28;Business & Careers;4.7;13;6;1;4;1;3
The Energy Bus;Jon Gordon;Jon Gordon;02.53;Business & Careers;4.7;9466;10;2;4;4;3
1% Better;Leo Black;Carl Jamison;03.10;Business & Careers;4.7;22;7;2;4;1;3
The Total Money Makeover;Dave Ramsey;Dave Ramsey;03.41;Business & Careers;4.7;38683;11;2;4;5;3
The Richest Man in Babylon;George S. Clason;Grover Gardner;04.04;Business & Careers;4.7;19851;11;3;4;4;3
The Greatness Guide;Robin Sharma;Adam Verner;04.17;Business & Careers;4.7;148;9;3;4;2;3
The Vision-Driven Leader;Michael Hyatt;Michael Hyatt;04.48;Business & Careers;4.7;283;9;3;4;2;3
The Big Leap;Gay Hendricks;Gay Hendricks;05.27;Business & Careers;4.7;4849;10;3;4;3;3
Effortless;Greg McKeown;Greg McKeown;06.02;Business & Careers;4.7;283;9;3;4;2;3
Essentialism;Greg McKeown;Greg McKeown;06.14;Business & Careers;4.7;15825;11;3;4;4;3
The Power of Moments;Chip Heath;Jeremy Bobb;06.24;Business & Careers;4.7;3550;10;3;4;3;3
Think Again;Adam Grant;Adam Grant;06.40;Business & Careers;4.7;3587;10;3;4;3;3
Traction;Gino Wickman;Kevin Pierce;06.56;Business & Careers;4.7;4908;10;3;4;3;3
The Culture Code;Daniel Coyle;Will Damron;07.13;Business & Careers;4.7;8659;11;3;4;4;3
The Heart of Business;Hubert Joly;Hubert Joly;07.16;Business & Careers;4.7;29;8;3;4;1;3
Start with Why;Simon Sinek;Simon Sinek;07.18;Business & Careers;4.7;19401;11;3;4;4;3
Outliers;Malcolm Gladwell;Malcolm Gladwell;07.18;Business & Careers;4.7;42313;12;3;4;5;3
Creating Magic;Lee Cockerell;Lee Cockerell;07.36;Business & Careers;4.7;1159;10;3;4;3;3
Everything Is Figureoutable;Marie Forleo;Marie Forleo;07.54;Business & Careers;4.7;3508;10;3;4;3;3
Start with No;Jim Camp;Robert James Jordan;07.58;Business & Careers;4.7;209;9;3;4;2;3
Rich Dad's Before You Quit Your Job;Robert T. Kiyosaki;Tim Wheeler;07.58;Business & Careers;4.7;1461;10;3;4;3;3
Crushing It!;Gary Vaynerchuk;Gary Vaynerchuk;08.02;Business & Careers;4.7;12910;11;3;4;4;3
Dare to Lead;Brené Brown;Brené Brown;08.10;Business & Careers;4.7;22470;12;3;4;5;3
Set for Life;Scott Trench;Scott Trench;08.24;Business & Careers;4.7;4099;10;3;4;3;3
Grit;Angela Duckworth;Angela Duckworth;09.22;Business & Careers;4.7;21980;12;3;4;5;3
Leaders Eat Last;Simon Sinek;Simon Sinek;09.23;Business & Careers;4.7;1420;10;3;4;3;3
The Magic of Thinking Big;David Schwartz;Jason Culp;09.31;Business & Careers;4.7;6794;11;3;4;4;3
Range;David Epstein;Will Damron;10.17;Business & Careers;4.7;7039;11;3;4;4;3
Becoming Bulletproof;Evy Poumpouras;Evy Poumpouras;10.20;Business & Careers;4.7;1708;10;3;4;3;3
Sell or Be Sold: How to Get Your Way in Business and in Life;Grant Cardone;Grant Cardone;11.40;Business & Careers;4.7;13422;11;3;4;4;3
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime;MJ DeMarco;MJ DeMarco;12.46;Business & Careers;4.7;6030;11;3;4;4;3
Tribe of Mentors;Tim Ferriss;Kaleo Griffith;18.43;Business & Careers;4.7;722;10;4;4;2;3
The Sovereign Individual;James Dale Davidson;Michael David Axtell;19.20;Business & Careers;4.7;459;10;4;4;2;3
Tools of Titans;Tim Ferriss;Ray Porter;22.41;Business & Careers;4.7;2052;11;4;4;3;3
The One Thing;Gary Keller;Dean Bokhari;0.30;Business & Careers;4.8;50;6;1;4;1;3
The Seven Spiritual Laws of Success;Deepak Chopra MD;Deepak Chopra;01.26;Business & Careers;4.8;6450;10;2;4;4;3
Who Moved My Cheese?;Spencer Johnson;Tony Roberts;01.39;Business & Careers;4.8;3738;9;2;4;3;3
The Greatest Salesman in the World;Og Mandino;Mark Bramhall;02.33;Business & Careers;4.8;3817;9;2;4;3;3
Supercoach: 10th Anniversary Edition;Michael Neill;Michael Neill;04.33;Business & Careers;4.8;169;9;3;4;2;3
Stop Doing That Sh*t;Gary John Bishop;Gary John Bishop;04.41;Business & Careers;4.8;5446;11;3;4;4;3
Building a StoryBrand;Donald Miller;Donald Miller;04.56;Business & Careers;4.8;9528;11;3;4;4;3
Secrets of the Millionaire Mind;T. Harv Eker;Charles Constant;05.10;Business & Careers;4.8;6975;11;3;4;4;3
Who Not How;Dan Sullivan;Dr. Benjamin Hardy;05.24;Business & Careers;4.8;693;9;3;4;2;3
Atomic Habits;James Clear;James Clear;05.35;Business & Careers;4.8;63238;12;3;4;5;3
Napoleon Hill's Outwitting the Devil;Napoleon Hill;Dan John Miller;05.51;Business & Careers;4.8;9305;11;3;4;4;3
100 preguntas clave para todo emprendedor [100 Questions for Every Entrepreneur];Carlos Muñoz;Karla Hernández;05.57;Business & Careers;4.8;62;8;3;4;1;3
Put Your Dream to the Test;John C. Maxwell;Henry O. Arnold;06.11;Business & Careers;4.8;55;8;3;4;1;3
Unleash the Power Within;Tony Robbins;Tony Robbins;06.16;Business & Careers;4.8;1880;10;3;4;3;3
Fix This Next;Mike Michalowicz;Mike Michalowicz;06.42;Business & Careers;4.8;347;9;3;4;2;3
The Infinite Game;Simon Sinek;Simon Sinek;06.56;Business & Careers;4.8;9050;11;3;4;4;3
12 Months to $1 Million;Ryan Daniel Moran;Ryan Daniel Moran;07.38;Business & Careers;4.8;1218;10;3;4;3;3
Trading in the Zone;Mark Douglas;Kaleo Griffith;07.57;Business & Careers;4.8;2693;10;3;4;3;3
High Output Management;Andrew S. Grove;Marc Cashman;08.02;Business & Careers;4.8;33;8;3;4;1;3
Never Split the Difference;Chris Voss;Michael Kramer;08.07;Business & Careers;4.8;50427;12;3;4;5;3
Intentional Living;John C. Maxwell;John C Maxwell;08.08;Business & Careers;4.8;1672;10;3;4;3;3
Profit First;Mike Michalowicz;Mike Michalowicz;08.35;Business & Careers;4.8;4477;10;3;4;3;3
Rising Strong;Brené Brown;Brené Brown;08.51;Business & Careers;4.8;16546;11;3;4;4;3
Doesn't Hurt to Ask;Trey Gowdy;Trey Gowdy;08.52;Business & Careers;4.8;1334;10;3;4;3;3
Extreme Ownership;Jocko Willink;Jocko Willink;09.33;Business & Careers;4.8;61779;12;3;4;5;3
The Lifestyle Investor;Justin Donald;Justin Donald;09.38;Business & Careers;4.8;21;8;3;4;1;3
Be Obsessed or Be Average;Grant Cardone;Grant Cardone;11.04;Business & Careers;4.8;12481;11;3;4;4;3
Bad Blood;John Carreyrou;Will Damron;11.37;Business & Careers;4.8;34732;12;3;4;5;3
The Daily Trading Coach;Brett N. Steenbarger;Joel Pierson;14.21;Business & Careers;4.8;46;8;3;4;1;3
10 Simple Secrets of the World's Greatest Business Communicators;Carmine Gallo;Sean Pratt;01.32;Business & Careers;4.9;10;7;2;4;1;3
Instagram Marketing Algorithms;Michael Gates;Tom Brooks;03.09;Business & Careers;4.9;51;7;2;4;1;3
Soundtracks;Jon Acuff;Jon Acuff;05.14;Business & Careers;4.9;312;9;3;4;2;3
Big Money Energy;Ryan Serhant;Ryan Serhant;06.20;Business & Careers;4.9;904;9;3;4;2;3
Daring Greatly;Brené Brown;Brené Brown;06.30;Business & Careers;4.9;15310;11;3;4;4;3
Winning;Tim S. Grover;Pete Simonelli;06.44;Business & Careers;4.9;404;9;3;4;2;3
Your Next Five Moves;Patrick Bet-David;Patrick Bet-David;08.06;Business & Careers;4.9;2083;10;3;4;3;3
Leadership Strategy and Tactics;Jocko Willink;Jocko Willink;08.25;Business & Careers;4.9;6582;11;3;4;4;3
We Should All Be Millionaires;Rachel Rodgers;Rachel Rodgers;08.40;Business & Careers;4.9;93;8;3;4;1;3
The Dichotomy of Leadership;Jocko Willink;Jocko Willink;10.34;Business & Careers;4.9;14099;11;3;4;4;3
The 7 Habits of Highly Effective People;Stephen R. Covey;Stephen R. Covey;15.07;Business & Careers;4.9;488;10;4;4;2;3
What I Learned When I Quit Numbing My Feelings;Rachel Lewett;Rachel Lewett;0.09;Biographies & Memoirs;4;4;6;1;4;1;2
Summary of Barack Obama’s Dreams from My Father by Swift Reads;Swift Reads;Richard Webb;0.26;Biographies & Memoirs;4;2;6;1;4;1;2
The Very Best of Nellie Bly;Nellie Bly;Museum Audiobooks cast;07.59;Biographies & Memoirs;4;2;8;3;4;1;2
Checking In;Michelle Williams;Michelle Williams;05.20;Biographies & Memoirs;5;31;9;3;5;1;2
Bamboozled by Jesus;Yvonne Orji;Yvonne Orji;06.31;Biographies & Memoirs;5;47;9;3;5;1;2
How to Fail at Almost Everything and Still Win Big;Scott Adams;Scott Adams;08.42;Biographies & Memoirs;5;13;9;3;5;1;2
Yeager;Chuck Yeager;Chris Browning;14.23;Biographies & Memoirs;5;521;10;3;5;2;2
When Girls Next Door Kill;Iris Owen;Summer Jo Swaine;0.26;Biographies & Memoirs;1.5;2;3;1;1;1;2
Melanie Klein: Object Relations Theory;Steven G. Carley MS;Steven G. Carley;0.22;Biographies & Memoirs;2.2;14;4;1;2;1;2
Andrew Cunanan: Short Spree Killer and Versace Nemesis;A. Biographer;411 Audio;0.09;Biographies & Memoirs;3.8;4;5;1;3;1;2
World Travel;Anthony Bourdain;Laurie Woolever;12.12;Biographies & Memoirs;3.9;88;7;3;3;1;2
The Hidden Lives of Tudor Women;Elizabeth Norton;Jennifer Dixon;12.20;Biographies & Memoirs;4.2;363;9;3;4;2;2
Nicolás Maquiavelo [Spanish Edition];Online Studio Productions;uncredited;0.26;Biographies & Memoirs;4.3;23;6;1;4;1;2
Detroit;Charlie LeDuff;Eric Martin;07.21;Biographies & Memoirs;4.3;1188;10;3;4;3;2
Hidden Figures;Margot Lee Shetterly;Robin Miles;10.47;Biographies & Memoirs;4.3;8881;11;3;4;4;2
Down the Rabbit Hole;Holly Madison;Holly Madison;10.51;Biographies & Memoirs;4.3;9516;11;3;4;4;2
The Devil in the White City;Erik Larson;Scott Brick;14.58;Biographies & Memoirs;4.3;24758;12;3;4;5;2
Bitter Blood;Jerry Bledsoe;Kevin Stillwell;20.08;Biographies & Memoirs;4.3;668;10;4;4;2;2
Brat;Andrew McCarthy;Andrew McCarthy;04.55;Biographies & Memoirs;4.4;392;9;3;4;2;2
Me Talk Pretty One Day;David Sedaris;David Sedaris;05.51;Biographies & Memoirs;4.4;10553;11;3;4;4;2
Into the Wild;Jon Krakauer;Philip Franklin;07.05;Biographies & Memoirs;4.4;8066;11;3;4;4;2
Hill Women;Cassie Chambers;Cassie Chambers;07.31;Biographies & Memoirs;4.4;260;9;3;4;2;2
Killers of the Flower Moon;David Grann;Will Patton;09.04;Biographies & Memoirs;4.4;12640;11;3;4;4;2
If You Tell;Gregg Olsen;Karen Peakes;10.34;Biographies & Memoirs;4.4;14844;11;3;4;4;2
Fly Girls;Keith O'Brien;Erin Bennett;12.13;Biographies & Memoirs;4.4;1066;10;3;4;3;2
The Demon Under The Microscope;Thomas Hager;Stephen Hoye;12.14;Biographies & Memoirs;4.4;3261;10;3;4;3;2
Wild;Cheryl Strayed;Bernadette Dunne;13.02;Biographies & Memoirs;4.4;22147;12;3;4;5;2
In Cold Blood;Truman Capote;Scott Brick;14.27;Biographies & Memoirs;4.4;12274;11;3;4;4;2
The Everything Store;Brad Stone;Pete Larkin;0.13;Biographies & Memoirs;4.5;14811;9;1;4;4;2
The 0.0082% Business;David MacDean;David MacDean;02.43;Biographies & Memoirs;4.5;6;7;2;4;1;2
Lean In;Sheryl Sandberg;Elisa Donovan;06.27;Biographies & Memoirs;4.5;14719;11;3;4;4;2
Yes Please;Amy Poehler;Amy Poehler;07.31;Biographies & Memoirs;4.5;52180;12;3;4;5;2
Medium Raw;Anthony Bourdain;Anthony Bourdain;08.59;Biographies & Memoirs;4.5;9056;11;3;4;4;2
American Predator;Maureen Callahan;Amy Landon;09.03;Biographies & Memoirs;4.5;4926;10;3;4;3;2
Unstoppable;Joshua M. Greene;Michael Orenstein;09.04;Biographies & Memoirs;4.5;19;8;3;4;1;2
Small Giants;Bo Burlingham;Bo Burlingham;10.47;Biographies & Memoirs;4.5;576;9;3;4;2;2
Nothing Personal;Nancy Jo Sales;Therese Plummer;12.27;Biographies & Memoirs;4.5;2;8;3;4;1;2
Heart Full of Lies;Ann Rule;Cassandra Campbell;12.43;Biographies & Memoirs;4.5;134;9;3;4;2;2
My Own Words;Ruth Bader Ginsburg;Linda Lavin;13.16;Biographies & Memoirs;4.5;3412;10;3;4;3;2
Genghis Khan and the Making of the Modern World;Jack Weatherford;Jonathan Davis;14.20;Biographies & Memoirs;4.5;17234;11;3;4;4;2
Midnight in the Garden of Good and Evil;John Berendt;Jeff Woodman;15.04;Biographies & Memoirs;4.5;5287;12;4;4;4;2
The Wars of the Roses;Dan Jones;John Curless;15.07;Biographies & Memoirs;4.5;2470;11;4;4;3;2
Chaos Monkeys - Revised Edition;Antonio Garcia Martinez;Dan John Miller;16.13;Biographies & Memoirs;4.5;322;10;4;4;2;2
Amazon Unbound;Brad Stone;Pete Larkin;16.33;Biographies & Memoirs;4.5;77;9;4;4;1;2
Undaunted Courage;Stephen E. Ambrose;Barrett Whitener;21.40;Biographies & Memoirs;4.5;4443;11;4;4;3;2
San Agustín: Del paganismo a la santidad [Saint Augustine: From Paganism to Holiness];Online Studio Productions;uncredited;0.28;Biographies & Memoirs;4.6;21;6;1;4;1;2
Themes and Variations;David Sedaris;David Sedaris;0.30;Biographies & Memoirs;4.6;1409;8;1;4;3;2
On Juneteenth;Annette Gordon-Reed;Karen Chilton;03.44;Biographies & Memoirs;4.6;52;7;2;4;1;2
Black Is the New White;Paul Mooney;Bobby Spears Jr.;05.50;Biographies & Memoirs;4.6;13;8;3;4;1;2
How to American;Jimmy O. Yang;Jimmy O. Yang;06.05;Biographies & Memoirs;4.6;2512;10;3;4;3;2
Dear Girls;Ali Wong;Ali Wong;06.20;Biographies & Memoirs;4.6;5933;11;3;4;4;2
Grinding It Out;Ray Kroc;Stephen Bel Davies;06.58;Biographies & Memoirs;4.6;694;9;3;4;2;2
A Land So Strange;Andres Resendez;Jonathan Davis;07.13;Biographies & Memoirs;4.6;796;9;3;4;2;2
Pryor Convictions;Richard Pryor;JD Jackson;07.41;Biographies & Memoirs;4.6;574;9;3;4;2;2
On the House;John Boehner;John Boehner;07.46;Biographies & Memoirs;4.6;1626;10;3;4;3;2
Trump: The Art of the Deal;Donald J. Trump;Kaleo Griffith;09.59;Biographies & Memoirs;4.6;10083;11;3;4;4;2
From Scratch;Tembi Locke;Tembi Locke;10.17;Biographies & Memoirs;4.6;3424;10;3;4;3;2
The Glass Castle;Jeannette Walls;Jeannette Walls;10.25;Biographies & Memoirs;4.6;14748;11;3;4;4;2
Billion Dollar Loser;Reeves Wiedeman;Will Collyer;10.51;Biographies & Memoirs;4.6;1080;10;3;4;3;2
The Immortal Life of Henrietta Lacks;Rebecca Skloot;Cassandra Campbell;12.30;Biographies & Memoirs;4.6;14426;11;3;4;4;2
Hidden Valley Road;Robert Kolker;Sean Pratt;13.08;Biographies & Memoirs;4.6;4603;10;3;4;3;2
Agent Sonya;Ben Macintyre;Ben Macintyre;14.14;Biographies & Memoirs;4.6;365;9;3;4;2;2
Mindhunter;John E. Douglas;Richard M. Davidson;15.24;Biographies & Memoirs;4.6;7204;12;4;4;4;2
Leonardo da Vinci;Walter Isaacson;Alfred Molina;17.01;Biographies & Memoirs;4.6;9901;12;4;4;4;2
Please Like Me (But Keep Away);Mindy Kaling;Mindy Kaling;0.29;Biographies & Memoirs;4.7;785;7;1;4;2;2
Freedom;Sebastian Junger;Sebastian Junger;03.06;Biographies & Memoirs;4.7;119;8;2;4;2;2
Letters from an Astrophysicist;Neil deGrasse Tyson;Neil deGrasse Tyson;05.35;Biographies & Memoirs;4.7;1294;10;3;4;3;2
When Breath Becomes Air;Paul Kalanithi;Sunil Malhotra;05.35;Biographies & Memoirs;4.7;25127;12;3;4;5;2
Rhett & Link's Book of Mythicality;Rhett McLaughlin;Link Neal;05.43;Biographies & Memoirs;4.7;3155;10;3;4;3;2
The Last Black Unicorn;Tiffany Haddish;Tiffany Haddish;06.29;Biographies & Memoirs;4.7;34250;12;3;4;5;2
Inside Out;Demi Moore;Demi Moore;06.31;Biographies & Memoirs;4.7;14679;11;3;4;4;2
Year of Yes;Shonda Rhimes;Shonda Rhimes;07.04;Biographies & Memoirs;4.7;21741;12;3;4;5;2
Too Much and Never Enough;Mary L. Trump PhD;Mary L. Trump PhD;07.05;Biographies & Memoirs;4.7;31973;12;3;4;5;2
Recovery;Russell Brand;Russell Brand;07.50;Biographies & Memoirs;4.7;3726;10;3;4;3;2
Girlhood;Melissa Febos;Melissa Febos;08.13;Biographies & Memoirs;4.7;18;8;3;4;1;2
Kitchen Confidential;Anthony Bourdain;Anthony Bourdain;08.19;Biographies & Memoirs;4.7;26155;12;3;4;5;2
Untamed;Glennon Doyle;Glennon Doyle;08.22;Biographies & Memoirs;4.7;25827;12;3;4;5;2
I Know Why the Caged Bird Sings;Maya Angelou;Maya Angelou;10.11;Biographies & Memoirs;4.7;6898;11;3;4;4;2
Born to Run;Christopher McDougall;Fred Sanders;11.06;Biographies & Memoirs;4.7;16647;11;3;4;4;2
I Can't Make This Up;Neil Strauss - contributor;Kevin Hart;11.15;Biographies & Memoirs;4.7;48771;12;3;4;5;2
Elon Musk;Ashlee Vance;Fred Sanders;13.23;Biographies & Memoirs;4.7;53069;12;3;4;5;2
Madam Speaker;Susan Page;Susan Page;13.42;Biographies & Memoirs;4.7;100;8;3;4;1;2
A Woman of No Importance;Sonia Purnell;Juliet Stevenson;13.54;Biographies & Memoirs;4.7;3087;10;3;4;3;2
Lone Survivor;Marcus Luttrell;Kevin T. Collins;14.17;Biographies & Memoirs;4.7;12980;11;3;4;4;2
Say Nothing;Patrick Radden Keefe;Matthew Blaney;14.40;Biographies & Memoirs;4.7;5662;11;3;4;4;2
The Code Breaker;Walter Isaacson;Kathe Mazur;16.04;Biographies & Memoirs;4.7;2037;11;4;4;3;2
Chaos;Tom O'Neill;Kevin Stillwell;16.15;Biographies & Memoirs;4.7;6063;12;4;4;4;2
The Splendid and the Vile;Erik Larson;John Lee;17.49;Biographies & Memoirs;4.7;8098;12;4;4;4;2
How Y'all Doing?;Leslie Jordan;Leslie Jordan;04.14;Biographies & Memoirs;4.8;708;9;3;4;2;2
I Want to Be Where the Normal People Are;Rachel Bloom;Rachel Bloom;04.51;Biographies & Memoirs;4.8;641;9;3;4;2;2
The Hope We Hold;Jeremy Vuolo;Jeremy Vuolo;06.08;Biographies & Memoirs;4.8;418;9;3;4;2;2
Yearbook;Seth Rogen;Seth Rogen;06.13;Biographies & Memoirs;4.8;1614;10;3;4;3;2
A Life on Our Planet;Sir David Attenborough;Sir David Attenborough;06.20;Biographies & Memoirs;4.8;536;9;3;4;2;2
Stay Sexy & Don’t Get Murdered;Karen Kilgariff;Karen Kilgariff;06.31;Biographies & Memoirs;4.8;15540;11;3;4;4;2
Maverick;Jason L. Riley;Brad Sanders;07.33;Biographies & Memoirs;4.8;12;8;3;4;1;2
A Very Punchable Face;Colin Jost;Colin Jost;07.41;Biographies & Memoirs;4.8;4713;10;3;4;3;2
We're Going to Need More Wine;Gabrielle Union;Gabrielle Union;07.48;Biographies & Memoirs;4.8;19908;11;3;4;4;2
Wiseguy;Nicholas Pileggi;Ari Fliakos;08.15;Biographies & Memoirs;4.8;1155;10;3;4;3;2
Broken (in the Best Possible Way);Jenny Lawson;Jenny Lawson;08.18;Biographies & Memoirs;4.8;964;9;3;4;2;2
On Writing;Stephen King;Stephen King;09.07;Biographies & Memoirs;4.8;12558;11;3;4;4;2
Into the Deep;Robert D. Ballard;Scott Brick;09.45;Biographies & Memoirs;4.8;12;8;3;4;1;2
Killing the Mob;Bill O'Reilly;Robert Petkoff;10.05;Biographies & Memoirs;4.8;982;9;3;4;2;2
The Hidden Habits of Genius;Craig Wright;Fred Sanders;10.07;Biographies & Memoirs;4.8;62;8;3;4;1;2
Persist;Elizabeth Warren;Elizabeth Warren;10.35;Biographies & Memoirs;4.8;127;9;3;4;2;2
Transformed;Remi Adeleke;Remi Adeleke;11.11;Biographies & Memoirs;4.8;1224;10;3;4;3;2
Just Mercy (Movie Tie-In Edition);Bryan Stevenson;Bryan Stevenson;11.11;Biographies & Memoirs;4.8;16176;11;3;4;4;2
Alone at Dawn;Dan Schilling;Kiff VandenHeuvel;11.23;Biographies & Memoirs;4.8;4042;10;3;4;3;2
Educated;Tara Westover;Julia Whelan;12.10;Biographies & Memoirs;4.8;110116;12;3;4;5;2
Finding the Mother Tree;Suzanne Simard;Suzanne Simard;12.13;Biographies & Memoirs;4.8;65;8;3;4;1;2
American Kingpin;Nick Bilton;Will Damron;12.14;Biographies & Memoirs;4.8;16972;11;3;4;4;2
Between Two Kingdoms;Suleika Jaouad;Suleika Jaouad;13.02;Biographies & Memoirs;4.8;741;9;3;4;2;2
The Spy and the Traitor;Ben Macintyre;John Lee;13.20;Biographies & Memoirs;4.8;7150;11;3;4;4;2
How to Change Your Mind;Michael Pollan;Michael Pollan;13.35;Biographies & Memoirs;4.8;16558;11;3;4;4;2
Unbroken;Laura Hillenbrand;Edward Herrmann;13.56;Biographies & Memoirs;4.8;46347;12;3;4;5;2
We Few;Nick Brokhausen;George Spelvin;14.07;Biographies & Memoirs;4.8;1488;10;3;4;3;2
Red Notice;Bill Browder;Adam Grupper;14.07;Biographies & Memoirs;4.8;11337;11;3;4;4;2
The Boys in the Boat;Daniel James Brown;Edward Herrmann;14.24;Biographies & Memoirs;4.8;33888;12;3;4;5;2
Know My Name;Chanel Miller;Chanel Miller;15.24;Biographies & Memoirs;4.8;5744;12;4;4;4;2
Stamped from the Beginning;Ibram X. Kendi;Christopher Dontrell Piper;19.08;Biographies & Memoirs;4.8;3118;11;4;4;3;2
The Wreckage of My Presence;Casey Wilson;Casey Wilson;06.28;Biographies & Memoirs;4.9;455;9;3;4;2;2
The Women of the Bible Speak;Shannon Bream;Shannon Bream;06.34;Biographies & Memoirs;4.9;187;9;3;4;2;2
State of Emergency;Tamika D. Mallory;Tamika D. Mallory;06.38;Biographies & Memoirs;4.9;128;9;3;4;2;2
Greenlights;Matthew McConaughey;Matthew McConaughey;06.42;Biographies & Memoirs;4.9;78263;12;3;4;5;2
Idiot;Laura Clery;Laura Clery;07.15;Biographies & Memoirs;4.9;12767;11;3;4;4;2
Crying in H Mart;Michelle Zauner;Michelle Zauner;07.23;Biographies & Memoirs;4.9;362;9;3;4;2;2
The Way I Heard It;Mike Rowe;Mike Rowe;07.55;Biographies & Memoirs;4.9;5962;11;3;4;4;2
Professional Troublemaker;Luvvie Ajayi Jones;Luvvie Ajayi Jones;07.58;Biographies & Memoirs;4.9;506;9;3;4;2;2
Fortitude;Dan Crenshaw;Dan Crenshaw;08.15;Biographies & Memoirs;4.9;12264;11;3;4;4;2
Live in Love;Lauren Akins;Lauren Akins;09.28;Biographies & Memoirs;4.9;1813;10;3;4;3;2
Whispers in the Tall Grass;Nick Brokhausen;George Spelvin;09.39;Biographies & Memoirs;4.9;928;9;3;4;2;2
The Operator;Robert O'Neill;Robert O'Neill;09.42;Biographies & Memoirs;4.9;15089;11;3;4;4;2
Man Enough;Justin Baldoni;Justin Baldoni;12.36;Biographies & Memoirs;4.9;95;8;3;4;1;2
Shoe Dog;Phil Knight;Norbert Leo Butz;13.21;Biographies & Memoirs;4.9;42885;12;3;4;5;2
With the Old Breed;E. B. Sledge;Marc Vietor;13.58;Biographies & Memoirs;4.9;7300;11;3;4;4;2
Just as I Am;Cicely Tyson;Cicely Tyson;16.08;Biographies & Memoirs;4.9;2818;11;4;4;3;2
The Autobiography of Malcolm X;Malcolm X;Laurence Fishburne;16.52;Biographies & Memoirs;4.9;6265;12;4;4;4;2
Empire of Pain;Patrick Radden Keefe;Patrick Radden Keefe;18.06;Biographies & Memoirs;4.9;888;10;4;4;2;2
Becoming;Michelle Obama;Michelle Obama;19.03;Biographies & Memoirs;4.9;167195;13;4;4;5;2
Warning: This Product Can Kill True Love;Catcher O Men;411 Audio;0.03;Arts & Entertainment;5;4;7;1;5;1;1
The Killing Trivia;J.R. Collins;411 Audio;0.05;Arts & Entertainment;5;6;7;1;5;1;1
Dahmer vs. Gacy;A. Zens;J. M. Kuczynski;0.11;Arts & Entertainment;5;4;7;1;5;1;1
The Marathon Don't Stop;Rob Kenner;Landon Woodson;0.11;Arts & Entertainment;5;239;8;1;5;2;1
Character;Robert McKee;Robert McKee;15.44;Arts & Entertainment;5;1;10;4;5;1;1
The Housewives;Brian Moylan;Brian Moylan;09.20;Arts & Entertainment;3.9;18;7;3;3;1;1
